epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2356,1.81236,2.04396,1.95522,0.58931,0.52911,0.54538,0.24426,1.99005,2.11105,2.24781,0.000330986,0.000330986,0.000330986
2,138.398,1.7619,1.51493,1.86311,0.67688,0.57833,0.61465,0.26415,2.15048,1.84929,2.3535,0.000663783,0.000663783,0.000663783
3,191.659,1.77992,1.48975,1.88514,0.59514,0.5104,0.54352,0.24275,2.13465,1.99577,2.36037,0.000994434,0.000994434,0.000994434
4,245.008,1.77553,1.53008,1.90303,0.63623,0.57696,0.61118,0.29173,2.06766,1.66369,2.27284,0.00099275,0.00099275,0.00099275
5,298.868,1.75301,1.45743,1.8726,0.62227,0.563,0.60818,0.28921,1.95518,1.62269,2.15347,0.000987136,0.000987136,0.000987136
6,353.66,1.73244,1.43873,1.84899,0.68109,0.58983,0.63696,0.29796,1.97364,1.59183,2.16106,0.000979949,0.000979949,0.000979949
7,407.862,1.71423,1.37426,1.844,0.68062,0.65018,0.68882,0.3328,1.88222,1.44431,2.0813,0.000971213,0.000971213,0.000971213
8,462.044,1.6988,1.34714,1.82632,0.73803,0.66374,0.71578,0.33864,1.88793,1.39645,2.08772,0.000960956,0.000960956,0.000960956
9,515.868,1.67772,1.3072,1.81247,0.74015,0.6571,0.70935,0.34134,1.88642,1.36103,2.10473,0.000949212,0.000949212,0.000949212
10,570.036,1.66791,1.27555,1.79834,0.78685,0.66988,0.73912,0.36078,1.89693,1.28332,2.09286,0.000936019,0.000936019,0.000936019
11,623.632,1.64203,1.26345,1.75969,0.78878,0.6654,0.73063,0.36194,1.84679,1.27623,2.04493,0.00092142,0.00092142,0.00092142
12,677.238,1.64647,1.23908,1.77623,0.77205,0.68981,0.74327,0.36394,1.8452,1.25157,2.08224,0.000905463,0.000905463,0.000905463
13,730.756,1.61878,1.23295,1.75817,0.80143,0.63862,0.70711,0.3477,1.84919,1.37143,2.0423,0.0008882,0.0008882,0.0008882
14,784.162,1.60022,1.17658,1.75631,0.77806,0.66496,0.74284,0.36852,1.81613,1.28037,2.01883,0.000869687,0.000869687,0.000869687
15,837.559,1.6146,1.17726,1.75079,0.80634,0.68588,0.76639,0.39165,1.76806,1.2262,1.9913,0.000849984,0.000849984,0.000849984
16,890.979,1.56795,1.13023,1.72507,0.80742,0.7022,0.77002,0.3877,1.78886,1.16521,1.99467,0.000829156,0.000829156,0.000829156
17,944.915,1.56259,1.08581,1.69855,0.80827,0.71307,0.77376,0.38589,1.77943,1.19711,1.99533,0.000807271,0.000807271,0.000807271
