epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,998.439,1.55725,1.10311,1.70001,0.79998,0.67837,0.74542,0.38172,1.75714,1.21136,1.99199,0.000784399,0.000784399,0.000784399
19,1051.58,1.54929,1.08174,1.69693,0.85201,0.69523,0.77873,0.38924,1.78255,1.17735,2.0066,0.000760617,0.000760617,0.000760617
20,1105.06,1.54203,1.07384,1.69959,0.80625,0.7183,0.78686,0.40699,1.74689,1.12062,1.97001,0.000736,0.000736,0.000736
21,1158.84,1.54683,1.07951,1.70346,0.80287,0.72629,0.78068,0.40577,1.74976,1.1201,1.95915,0.00071063,0.00071063,0.00071063
22,1212.58,1.50848,1.02239,1.66194,0.82479,0.71795,0.79033,0.41068,1.73743,1.13464,1.96768,0.00068459,0.00068459,0.00068459
23,1266.28,1.50908,1.01461,1.66217,0.80567,0.72895,0.78846,0.41506,1.73529,1.09209,1.95065,0.000657963,0.000657963,0.000657963
24,1320.1,1.50058,1.02233,1.67022,0.79833,0.71819,0.77359,0.40024,1.74191,1.11033,1.96629,0.000630838,0.000630838,0.000630838
25,1373.91,1.49899,0.99746,1.65958,0.81361,0.74673,0.79779,0.40506,1.76868,1.11926,1.99021,0.000603302,0.000603302,0.000603302
26,1427.63,1.48702,0.99005,1.64079,0.8212,0.72212,0.78201,0.41183,1.73851,1.08156,1.95092,0.000575446,0.000575446,0.000575446
27,1481.22,1.47624,0.9614,1.63528,0.78525,0.7695,0.81675,0.4305,1.71205,1.04349,1.92936,0.00054736,0.00054736,0.00054736
28,1535.04,1.44734,0.94298,1.60978,0.801,0.76749,0.80384,0.42024,1.71661,1.05227,1.93491,0.000519135,0.000519135,0.000519135
29,1589.02,1.43977,0.91458,1.60625,0.8329,0.74148,0.80475,0.4203,1.71116,1.03206,1.93338,0.000490865,0.000490865,0.000490865
30,1642.92,1.44815,0.91599,1.62749,0.83628,0.74108,0.81099,0.42433,1.7253,1.01166,1.95888,0.00046264,0.00046264,0.00046264
31,1696.74,1.43435,0.92527,1.59827,0.82894,0.74857,0.80529,0.43116,1.71363,1.01079,1.92983,0.000434554,0.000434554,0.000434554
32,1750.51,1.42502,0.90529,1.59354,0.86912,0.73542,0.80875,0.43444,1.72002,0.98688,1.93318,0.000406698,0.000406698,0.000406698
33,1804.17,1.39397,0.87996,1.57446,0.84654,0.73427,0.80964,0.43053,1.69889,0.99425,1.94641,0.000379162,0.000379162,0.000379162
34,1857.57,1.36972,0.84666,1.54979,0.83112,0.77408,0.82134,0.43775,1.70359,0.97103,1.95452,0.000352037,0.000352037,0.000352037
35,1911.01,1.39278,0.85662,1.57814,0.84514,0.74472,0.80942,0.43333,1.7106,0.97392,1.93735,0.00032541,0.00032541,0.00032541
36,1964.72,1.36916,0.84047,1.55443,0.87915,0.73905,0.82116,0.43711,1.66279,0.959,1.90699,0.00029937,0.00029937,0.00029937
37,2018.46,1.36618,0.83926,1.54511,0.84581,0.7687,0.82386,0.43682,1.68489,0.96647,1.92814,0.000274,0.000274,0.000274
38,2071.94,1.35173,0.81829,1.53588,0.83571,0.77711,0.81803,0.44268,1.68078,0.95926,1.9136,0.000249383,0.000249383,0.000249383
39,2125.91,1.33399,0.80298,1.52521,0.83235,0.77294,0.82309,0.44079,1.67516,0.94512,1.91801,0.000225601,0.000225601,0.000225601
40,2179.68,1.33425,0.80571,1.54338,0.86538,0.76055,0.82415,0.44367,1.68379,0.94605,1.92174,0.000202729,0.000202729,0.000202729
41,2234.26,1.33949,0.7157,1.57292,0.83911,0.78122,0.82543,0.44746,1.67281,0.932,1.9026,0.000180844,0.000180844,0.000180844
42,2286.34,1.31914,0.68643,1.56081,0.82554,0.79176,0.82415,0.44308,1.6944,0.92334,1.92884,0.000160016,0.000160016,0.000160016
43,2338.94,1.29951,0.67142,1.54001,0.8552,0.7727,0.82426,0.44019,1.6915,0.89473,1.93858,0.000140313,0.000140313,0.000140313
44,2391.58,1.29272,0.66396,1.53801,0.8404,0.7923,0.82666,0.44728,1.68566,0.92405,1.93908,0.0001218,0.0001218,0.0001218
45,2443.55,1.27786,0.64921,1.52999,0.8519,0.78683,0.81983,0.44027,1.69359,0.92318,1.95374,0.000104537,0.000104537,0.000104537
46,2495.81,1.26465,0.63731,1.51691,0.85532,0.78749,0.82397,0.44517,1.68116,0.90881,1.94263,8.85795e-05,8.85795e-05,8.85795e-05
47,2548.03,1.25202,0.63696,1.50919,0.83734,0.79646,0.82541,0.44183,1.68088,0.90147,1.926,7.39807e-05,7.39807e-05,7.39807e-05
48,2600.57,1.24337,0.62423,1.50197,0.84808,0.78109,0.82639,0.44645,1.67352,0.89738,1.92628,6.07878e-05,6.07878e-05,6.07878e-05
49,2653.45,1.23106,0.61686,1.48462,0.86319,0.78463,0.82616,0.44805,1.67313,0.89967,1.92651,4.90438e-05,4.90438e-05,4.90438e-05
50,2706.22,1.22596,0.60844,1.48562,0.85813,0.78871,0.82832,0.4511,1.67574,0.89901,1.93038,3.8787e-05,3.8787e-05,3.8787e-05
51,2758.89,1.21859,0.6125,1.48343,0.8525,0.79214,0.82697,0.44658,1.66715,0.8897,1.93047,3.0051e-05,3.0051e-05,3.0051e-05
52,2810.64,1.22789,0.6164,1.49039,0.85562,0.78724,0.82572,0.44852,1.66602,0.88456,1.92785,2.28641e-05,2.28641e-05,2.28641e-05
53,2863.17,1.21946,0.61728,1.48083,0.85879,0.78727,0.82683,0.44892,1.66741,0.88356,1.92852,1.72499e-05,1.72499e-05,1.72499e-05
54,2915.66,1.22314,0.61491,1.48063,0.85573,0.78988,0.82572,0.44662,1.6734,0.88465,1.94052,1.32265e-05,1.32265e-05,1.32265e-05
55,2968.14,1.20879,0.6066,1.47197,0.85746,0.7879,0.82593,0.44835,1.67003,0.88649,1.93212,1.08073e-05,1.08073e-05,1.08073e-05
